"condition","frame","crop_relative","target_relative","crop_path","target_path","error"
"M4_20mA_20C_0","frame_0004","input/M4_20mA_20C_0/frame_0004.png","target/M4_20mA_20C_0/frame_0004.png","","",""
"M4_20mA_20C_0","frame_0006","input/M4_20mA_20C_0/frame_0006.png","target/M4_20mA_20C_0/frame_0006.png","","",""
"M4_20mA_20C_0","frame_0007","input/M4_20mA_20C_0/frame_0007.png","target/M4_20mA_20C_0/frame_0007.png","","",""
"M4_20mA_30C_0","frame_0003","input/M4_20mA_30C_0/frame_0003.png","target/M4_20mA_30C_0/frame_0003.png","","",""
"M4_20mA_30C_0","frame_0004","input/M4_20mA_30C_0/frame_0004.png","target/M4_20mA_30C_0/frame_0004.png","","",""
"M4_20mA_30C_0","frame_0009","input/M4_20mA_30C_0/frame_0009.png","target/M4_20mA_30C_0/frame_0009.png","","",""
"M4_20mA_40C_0","frame_0006","input/M4_20mA_40C_0/frame_0006.png","target/M4_20mA_40C_0/frame_0006.png","","",""
"M4_20mA_40C_0","frame_0009","input/M4_20mA_40C_0/frame_0009.png","target/M4_20mA_40C_0/frame_0009.png","","",""
"M4_20mA_40C_0","frame_0016","input/M4_20mA_40C_0/frame_0016.png","target/M4_20mA_40C_0/frame_0016.png","","",""
"M4_30mA_20C_0","frame_0003","input/M4_30mA_20C_0/frame_0003.png","target/M4_30mA_20C_0/frame_0003.png","","",""
"M4_30mA_20C_0","frame_0004","input/M4_30mA_20C_0/frame_0004.png","target/M4_30mA_20C_0/frame_0004.png","","",""
"M4_30mA_20C_0","frame_0005","input/M4_30mA_20C_0/frame_0005.png","target/M4_30mA_20C_0/frame_0005.png","","",""
"M4_30mA_30C_0","frame_0005","input/M4_30mA_30C_0/frame_0005.png","target/M4_30mA_30C_0/frame_0005.png","","",""
"M4_30mA_30C_0","frame_0006","input/M4_30mA_30C_0/frame_0006.png","target/M4_30mA_30C_0/frame_0006.png","","",""
"M4_30mA_30C_0","frame_0009","input/M4_30mA_30C_0/frame_0009.png","target/M4_30mA_30C_0/frame_0009.png","","",""
"M4_30mA_40C_0","frame_0008","input/M4_30mA_40C_0/frame_0008.png","target/M4_30mA_40C_0/frame_0008.png","","",""
"M4_30mA_40C_0","frame_0017","input/M4_30mA_40C_0/frame_0017.png","target/M4_30mA_40C_0/frame_0017.png","","",""
"M4_30mA_40C_0","frame_0019","input/M4_30mA_40C_0/frame_0019.png","target/M4_30mA_40C_0/frame_0019.png","","",""
"M5_10mA_20C_0","frame_0001","input/M5_10mA_20C_0/frame_0001.png","target/M5_10mA_20C_0/frame_0001.png","","",""
"M5_10mA_20C_0","frame_0002","input/M5_10mA_20C_0/frame_0002.png","target/M5_10mA_20C_0/frame_0002.png","","",""
"M5_10mA_20C_0","frame_0004","input/M5_10mA_20C_0/frame_0004.png","target/M5_10mA_20C_0/frame_0004.png","","",""
"M5_10mA_30C_0","frame_0001","input/M5_10mA_30C_0/frame_0001.png","target/M5_10mA_30C_0/frame_0001.png","","",""
"M5_10mA_30C_0","frame_0002","input/M5_10mA_30C_0/frame_0002.png","target/M5_10mA_30C_0/frame_0002.png","","",""
"M5_10mA_30C_0","frame_0004","input/M5_10mA_30C_0/frame_0004.png","target/M5_10mA_30C_0/frame_0004.png","","",""
"M5_10mA_40C_0","frame_0002","input/M5_10mA_40C_0/frame_0002.png","target/M5_10mA_40C_0/frame_0002.png","","",""
"M5_10mA_40C_0","frame_0004","input/M5_10mA_40C_0/frame_0004.png","target/M5_10mA_40C_0/frame_0004.png","","",""
"M5_10mA_40C_0","frame_0011","input/M5_10mA_40C_0/frame_0011.png","target/M5_10mA_40C_0/frame_0011.png","","",""
"M5_20mA_20C_0","frame_0004","input/M5_20mA_20C_0/frame_0004.png","target/M5_20mA_20C_0/frame_0004.png","","",""
"M5_20mA_20C_0","frame_0006","input/M5_20mA_20C_0/frame_0006.png","target/M5_20mA_20C_0/frame_0006.png","","",""
"M5_20mA_20C_0","frame_0007","input/M5_20mA_20C_0/frame_0007.png","target/M5_20mA_20C_0/frame_0007.png","","",""
"M5_20mA_30C_0","frame_0003","input/M5_20mA_30C_0/frame_0003.png","target/M5_20mA_30C_0/frame_0003.png","","",""
"M5_20mA_30C_0","frame_0004","input/M5_20mA_30C_0/frame_0004.png","target/M5_20mA_30C_0/frame_0004.png","","",""
"M5_20mA_30C_0","frame_0005","input/M5_20mA_30C_0/frame_0005.png","target/M5_20mA_30C_0/frame_0005.png","","",""
"M5_20mA_40C_0","frame_0006","input/M5_20mA_40C_0/frame_0006.png","target/M5_20mA_40C_0/frame_0006.png","","",""
"M5_20mA_40C_0","frame_0007","input/M5_20mA_40C_0/frame_0007.png","target/M5_20mA_40C_0/frame_0007.png","","",""
"M5_20mA_40C_0","frame_0009","input/M5_20mA_40C_0/frame_0009.png","target/M5_20mA_40C_0/frame_0009.png","","",""
"M5_30mA_20C_0","frame_0003","input/M5_30mA_20C_0/frame_0003.png","target/M5_30mA_20C_0/frame_0003.png","","",""
"M5_30mA_20C_0","frame_0004","input/M5_30mA_20C_0/frame_0004.png","target/M5_30mA_20C_0/frame_0004.png","","",""
"M5_30mA_20C_0","frame_0007","input/M5_30mA_20C_0/frame_0007.png","target/M5_30mA_20C_0/frame_0007.png","","",""
"M5_30mA_30C_0","frame_0003","input/M5_30mA_30C_0/frame_0003.png","target/M5_30mA_30C_0/frame_0003.png","","",""
"M5_30mA_30C_0","frame_0005","input/M5_30mA_30C_0/frame_0005.png","target/M5_30mA_30C_0/frame_0005.png","","",""
"M5_30mA_30C_0","frame_0006","input/M5_30mA_30C_0/frame_0006.png","target/M5_30mA_30C_0/frame_0006.png","","",""
"M5_30mA_40C_0","frame_0002","input/M5_30mA_40C_0/frame_0002.png","target/M5_30mA_40C_0/frame_0002.png","","",""
"M5_30mA_40C_0","frame_0008","input/M5_30mA_40C_0/frame_0008.png","target/M5_30mA_40C_0/frame_0008.png","","",""
"M5_30mA_40C_0","frame_0017","input/M5_30mA_40C_0/frame_0017.png","target/M5_30mA_40C_0/frame_0017.png","","",""
"M6_10mA_20C_0","frame_0001","input/M6_10mA_20C_0/frame_0001.png","target/M6_10mA_20C_0/frame_0001.png","","",""
"M6_10mA_20C_0","frame_0003","input/M6_10mA_20C_0/frame_0003.png","target/M6_10mA_20C_0/frame_0003.png","","",""
"M6_10mA_20C_0","frame_0004","input/M6_10mA_20C_0/frame_0004.png","target/M6_10mA_20C_0/frame_0004.png","","",""
"M6_10mA_30C_0","frame_0004","input/M6_10mA_30C_0/frame_0004.png","target/M6_10mA_30C_0/frame_0004.png","","",""
"M6_10mA_30C_0","frame_0011","input/M6_10mA_30C_0/frame_0011.png","target/M6_10mA_30C_0/frame_0011.png","","",""
"M6_10mA_30C_0","frame_0012","input/M6_10mA_30C_0/frame_0012.png","target/M6_10mA_30C_0/frame_0012.png","","",""
"M6_10mA_40C_0","frame_0004","input/M6_10mA_40C_0/frame_0004.png","target/M6_10mA_40C_0/frame_0004.png","","",""
"M6_10mA_40C_0","frame_0021","input/M6_10mA_40C_0/frame_0021.png","target/M6_10mA_40C_0/frame_0021.png","","",""
"M6_10mA_40C_0","frame_0025","input/M6_10mA_40C_0/frame_0025.png","target/M6_10mA_40C_0/frame_0025.png","","",""
"M6_20mA_20C_0","frame_0005","input/M6_20mA_20C_0/frame_0005.png","target/M6_20mA_20C_0/frame_0005.png","","",""
"M6_20mA_20C_0","frame_0009","input/M6_20mA_20C_0/frame_0009.png","target/M6_20mA_20C_0/frame_0009.png","","",""
"M6_20mA_20C_0","frame_0011","input/M6_20mA_20C_0/frame_0011.png","target/M6_20mA_20C_0/frame_0011.png","","",""
"M6_20mA_30C_0","frame_0001","input/M6_20mA_30C_0/frame_0001.png","target/M6_20mA_30C_0/frame_0001.png","","",""
"M6_20mA_30C_0","frame_0007","input/M6_20mA_30C_0/frame_0007.png","target/M6_20mA_30C_0/frame_0007.png","","",""
"M6_20mA_30C_0","frame_0008","input/M6_20mA_30C_0/frame_0008.png","target/M6_20mA_30C_0/frame_0008.png","","",""
"M6_20mA_40C_0","frame_0001","input/M6_20mA_40C_0/frame_0001.png","target/M6_20mA_40C_0/frame_0001.png","","",""
"M6_20mA_40C_0","frame_0002","input/M6_20mA_40C_0/frame_0002.png","target/M6_20mA_40C_0/frame_0002.png","","",""
"M6_20mA_40C_0","frame_0004","input/M6_20mA_40C_0/frame_0004.png","target/M6_20mA_40C_0/frame_0004.png","","",""
"M6_30mA_20C_0","frame_0006","input/M6_30mA_20C_0/frame_0006.png","target/M6_30mA_20C_0/frame_0006.png","","",""
"M6_30mA_20C_0","frame_0010","input/M6_30mA_20C_0/frame_0010.png","target/M6_30mA_20C_0/frame_0010.png","","",""
"M6_30mA_20C_0","frame_0014","input/M6_30mA_20C_0/frame_0014.png","target/M6_30mA_20C_0/frame_0014.png","","",""
"M6_30mA_30C_0","frame_0007","input/M6_30mA_30C_0/frame_0007.png","target/M6_30mA_30C_0/frame_0007.png","","",""
"M6_30mA_30C_0","frame_0008","input/M6_30mA_30C_0/frame_0008.png","target/M6_30mA_30C_0/frame_0008.png","","",""
"M6_30mA_30C_0","frame_0011","input/M6_30mA_30C_0/frame_0011.png","target/M6_30mA_30C_0/frame_0011.png","","",""
"M6_30mA_40C_0","frame_0013","input/M6_30mA_40C_0/frame_0013.png","target/M6_30mA_40C_0/frame_0013.png","","",""
"M6_30mA_40C_0","frame_0014","input/M6_30mA_40C_0/frame_0014.png","target/M6_30mA_40C_0/frame_0014.png","","",""
"M6_30mA_40C_0","frame_0020","input/M6_30mA_40C_0/frame_0020.png","target/M6_30mA_40C_0/frame_0020.png","","",""
